province;users;contributions;stars;followers
Madrid;798;143739;37003;13375
Barcelona;808;108576;35070;16836
Valencia;215;20037;2718;1383
Alicante;52;4941;255;276
Sevilla;115;11385;1255;1186
M치laga;86;7356;926;528
Murcia;37;2893;752;272
C치diz;44;2497;604;401
Bilbao;84;9071;1912;1475
Coru침a;60;4551;1049;462
Baleares;31;2037;361;212
Asturias;59;8121;584;358
Tenerife;60;5816;577;591
Zaragoza;86;13938;1466;1010
Pontevedra;55;2939;1065;417
Granada;182;29610;1416;1243
Tarragona;21;1353;160;121
C칩rdoba;65;3821;298;371
Gerona;29;2078;894;346
Las Palmas;56;3031;548;298
